S_no,ContractSymbol,ExchangeSymbol,BrickSize,BrickReversal,Timeframe,no_of_lot,Quantity,Pivot_Price
0.0,CRUDEOIL19SEPFUT,MCX_FO,3.0,1.0,5.0,1.0,100.0,3969.0
1.0,GOLD19OCTFUT,MCX_FO,30.0,1.0,5.0,1.0,5.0,38620.0
