Signal,EntryDateTime,EntryPrice,ExitType,ExitDateTime,ExitPrice,PandL,PandL_Percentage
SELL,2019-08-01 11:05:00,1151.25,SELLEXIT,2019-08-01 13:15:00,1168.85,-17.59999999999991,-1.5287730727470064
BUY,2019-08-01 13:15:00,1168.85,BUYEXIT,2019-08-02 09:15:00,1173.6,4.75,0.4063823416178296
SELL,2019-08-02 09:15:00,1173.6,SELLEXIT,2019-08-02 11:05:00,1177.25,-3.6500000000000914,-0.31100886162236635
BUY,2019-08-02 11:05:00,1177.25,BUYEXIT,2019-08-05 09:15:00,1150.5,-26.75,-2.272244637927373
SELL,2019-08-05 09:15:00,1150.5,SELLEXIT,2019-08-05 11:55:00,1146.0,4.5,0.3911342894393742
BUY,2019-08-05 11:55:00,1146.0,BUYEXIT,2019-08-06 11:05:00,1134.3,-11.700000000000045,-1.0209424083769674
SELL,2019-08-06 11:05:00,1134.3,SELLEXIT,2019-08-07 09:15:00,1131.0,3.2999999999999545,0.2909283258397209
BUY,2019-08-07 09:15:00,1131.0,BUYEXIT,2019-08-07 10:45:00,1119.8,-11.200000000000044,-0.9902740937223736
SELL,2019-08-07 10:45:00,1119.8,SELLEXIT,2019-08-08 10:05:00,1115.0,4.7999999999999545,0.42864797285229095
BUY,2019-08-08 10:05:00,1115.0,BUYEXIT,2019-08-13 11:15:00,1285.0,170.0,15.246636771300446
SELL,2019-08-13 11:15:00,1285.0,SELLEXIT,2019-08-13 13:45:00,1291.55,-6.5499999999999545,-0.5097276264591404
BUY,2019-08-13 13:45:00,1291.55,BUYEXIT,2019-08-13 14:45:00,1276.65,-14.899999999999864,-1.1536525879756776
SELL,2019-08-13 14:45:00,1276.65,SELLEXIT,2019-08-13 10:05:00,1277.35,-0.6999999999998181,-0.05483100301569092
BUY,2019-08-13 10:05:00,1277.35,BUYEXIT,2019-08-13 11:15:00,1285.0,7.650000000000091,0.5988961521900882
SELL,2019-08-13 11:15:00,1285.0,SELLEXIT,2019-08-13 13:45:00,1291.55,-6.5499999999999545,-0.5097276264591404
BUY,2019-08-13 13:45:00,1291.55,BUYEXIT,2019-08-13 14:45:00,1276.65,-14.899999999999864,-1.1536525879756776
SELL,2019-08-13 14:45:00,1276.65,SELLEXIT,2019-08-14 09:15:00,1300.4,-23.75,-1.8603376023185683
BUY,2019-08-14 09:15:00,1300.4,BUYEXIT,2019-08-14 09:45:00,1284.85,-15.550000000000182,-1.1957859120270826
SELL,2019-08-14 09:45:00,1284.85,SELLEXIT,2019-08-14 13:05:00,1295.95,-11.100000000000136,-0.8639140755730348
BUY,2019-08-14 13:05:00,1295.95,BUYEXIT,2019-08-16 09:15:00,1284.0,-11.950000000000045,-0.9221034762143636
SELL,2019-08-16 09:15:00,1284.0,SELLEXIT,2019-08-19 09:15:00,1290.3,-6.2999999999999545,-0.4906542056074731
BUY,2019-08-19 09:15:00,1290.3,BUYEXIT,2019-08-20 10:15:00,1277.4,-12.899999999999864,-0.9997674959311682
SELL,2019-08-20 10:15:00,1277.4,SELLEXIT,2019-08-22 14:45:00,1251.8,25.60000000000014,2.004070768749032
BUY,2019-08-22 14:45:00,1251.8,BUYEXIT,2019-08-23 09:15:00,1235.45,-16.34999999999991,-1.3061191883687415
SELL,2019-08-23 09:15:00,1235.45,SELLEXIT,2019-08-23 10:05:00,1242.5,-7.0499999999999545,-0.5706422760937273
BUY,2019-08-23 10:05:00,1242.5,BUYEXIT,2019-08-23 09:15:00,1235.45,-7.0499999999999545,-0.5674044265593525
SELL,2019-08-23 09:15:00,1235.45,SELLEXIT,2019-08-23 10:05:00,1242.5,-7.0499999999999545,-0.5706422760937273
BUY,2019-08-23 10:05:00,1242.5,BUYEXIT,2019-08-26 09:25:00,1269.25,26.75,2.1529175050301808
SELL,2019-08-26 09:25:00,1269.25,SELLEXIT,2019-08-26 12:15:00,1278.0,-8.75,-0.6893834941894821
BUY,2019-08-26 12:15:00,1278.0,BUYEXIT,2019-08-26 14:55:00,1269.6,-8.400000000000091,-0.6572769953051714
SELL,2019-08-26 14:55:00,1269.6,SELLEXIT,2019-08-28 09:15:00,1280.4,-10.800000000000182,-0.850661625708899
BUY,2019-08-28 09:15:00,1280.4,BUYEXIT,2019-08-28 11:25:00,1265.85,-14.550000000000182,-1.1363636363636505
SELL,2019-08-28 11:25:00,1265.85,SELLEXIT,2019-08-29 09:15:00,1253.85,12.0,0.9479796184382036
BUY,2019-08-29 09:15:00,1253.85,BUYEXIT,2019-08-29 14:55:00,1244.4,-9.449999999999818,-0.7536786696973177
SELL,2019-08-29 14:55:00,1244.4,SELLEXIT,2019-08-30 13:55:00,1236.45,7.950000000000045,0.6388621022179399
BUY,2019-08-30 13:55:00,1236.45,BUYEXIT,2019-09-03 09:15:00,1237.2,0.75,0.06065752759917505
