DateTime,open,high,low,close,volume,Trend,Brick,PivotPrice,TRADE
2019-08-01 09:15:00,1162.25,1162.25,1157.4,1162.1,93826,,,,
2019-08-01 09:16:00,1162.1,1162.1,1158.15,1158.45,51320,,,,
2019-08-01 09:17:00,1158.6,1159.15,1156.6,1159.15,49078,,,,
2019-08-01 09:18:00,1159.0,1159.15,1157.25,1158.8,27975,,,,
2019-08-01 09:19:00,1158.8,1158.8,1157.95,1157.95,40965,,,,
2019-08-01 09:20:00,1157.95,1158.5,1156.25,1157.8,49710,,,,
2019-08-01 09:21:00,1158.1,1159.6,1157.0,1159.6,43844,,,,
2019-08-01 09:22:00,1159.75,1163.4,1159.5,1163.4,63354,,,,
2019-08-01 09:23:00,1163.65,1163.65,1161.15,1162.0,28446,,,,
2019-08-01 09:24:00,1162.25,1162.4,1160.85,1160.95,17348,,,,
2019-08-01 09:25:00,1160.95,1161.35,1160.3,1161.35,28939,,,,
2019-08-01 09:26:00,1161.5,1164.0,1161.5,1163.8,31120,,,,
2019-08-01 09:27:00,1163.9,1163.95,1162.1,1162.35,25653,,,,
2019-08-01 09:28:00,1162.35,1164.8,1162.3,1164.0,31586,,,,
2019-08-01 09:29:00,1163.75,1164.1,1163.0,1164.1,24246,,,,
2019-08-01 09:30:00,1163.9,1164.4,1162.05,1162.05,14758,,,,
2019-08-01 09:31:00,1162.05,1162.2,1161.3,1161.5,19830,,,,
2019-08-01 09:32:00,1161.55,1162.05,1161.05,1161.75,19749,,,,
2019-08-01 09:33:00,1162.2,1162.2,1161.95,1162.05,8865,,,,
2019-08-01 09:34:00,1162.05,1162.05,1161.15,1161.9,20799,,,,
2019-08-01 09:35:00,1162.0,1163.7,1162.0,1163.65,10676,,,,
2019-08-01 09:36:00,1163.7,1164.2,1163.2,1163.3,29681,,,,
2019-08-01 09:37:00,1163.3,1163.7,1162.15,1162.2,16524,,,,
2019-08-01 09:38:00,1162.2,1162.5,1160.3,1160.3,29190,,,,
2019-08-01 09:39:00,1160.55,1161.0,1158.5,1159.3,80622,,,,
2019-08-01 09:40:00,1159.3,1159.3,1157.5,1157.5,50926,,,,
2019-08-01 09:41:00,1157.5,1157.65,1155.4,1156.0,68700,Downward,RedBrick,1157.1,
2019-08-01 09:42:00,1156.1,1158.9,1156.1,1158.6,33161,,,,
2019-08-01 09:43:00,1158.9,1159.0,1158.0,1158.1,24473,,,,
2019-08-01 09:44:00,1158.05,1158.4,1157.5,1158.2,28432,,,,
2019-08-01 09:45:00,1158.2,1158.25,1156.85,1157.3,27264,,,,
2019-08-01 09:46:00,1157.3,1158.0,1156.6,1157.95,25115,,,,
2019-08-01 09:47:00,1157.85,1159.3,1157.85,1159.1,11559,,,,
2019-08-01 09:48:00,1159.45,1159.6,1158.6,1159.15,10345,,,,
2019-08-01 09:49:00,1159.15,1159.4,1158.55,1158.8,22300,,,,
2019-08-01 09:50:00,1159.0,1162.3,1158.95,1162.3,25625,,,,
2019-08-01 09:51:00,1162.2,1163.0,1161.55,1162.05,31653,,,,
2019-08-01 09:52:00,1162.15,1162.45,1160.35,1161.5,20091,,,,
2019-08-01 09:53:00,1161.5,1162.0,1160.5,1161.5,19298,,,,
2019-08-01 09:54:00,1161.8,1162.55,1161.8,1162.35,15097,,,,
2019-08-01 09:55:00,1162.15,1163.5,1162.15,1163.45,32778,,,,
2019-08-01 09:56:00,1163.45,1163.7,1162.45,1162.45,22665,,,,
2019-08-01 09:57:00,1162.75,1164.0,1162.35,1163.35,33535,,,,
2019-08-01 09:58:00,1163.55,1164.0,1163.4,1164.0,19181,,,,
2019-08-01 09:59:00,1163.85,1165.0,1163.0,1163.0,49586,,,,
2019-08-01 10:00:00,1163.1,1164.1,1163.0,1163.5,22793,,,,
2019-08-01 10:01:00,1163.4,1163.85,1163.0,1163.1,12650,,,,
2019-08-01 10:02:00,1163.15,1164.0,1163.05,1163.8,17149,,,,
2019-08-01 10:03:00,1163.5,1163.85,1163.3,1163.5,13650,,,,
2019-08-01 10:04:00,1163.5,1163.75,1162.5,1162.55,20366,,,,
2019-08-01 10:05:00,1162.3,1162.55,1160.25,1160.4,37836,,,,
2019-08-01 10:06:00,1160.4,1160.9,1159.35,1159.9,36305,,,,
2019-08-01 10:07:00,1159.9,1160.0,1159.0,1160.0,11716,,,,
2019-08-01 10:08:00,1160.0,1160.5,1159.4,1159.4,8876,,,,
2019-08-01 10:09:00,1159.75,1159.75,1159.4,1159.7,19411,,,,
2019-08-01 10:10:00,1159.75,1160.15,1159.65,1160.1,12414,,,,
2019-08-01 10:11:00,1159.95,1160.5,1159.75,1159.9,6627,,,,
2019-08-01 10:12:00,1160.7,1160.7,1159.55,1160.0,12881,,,,
2019-08-01 10:13:00,1160.1,1160.1,1159.75,1159.8,8057,,,,
