,DateTime,open,high,low,close,volume,Trend,Brick,PivotPrice,TRADE,SellSignal,SellEntryPrice,SellExitPrice,SellPNL,SellPNLPercent,BuySignal,BuyEntryPrice,BuyExitPrice,BuyPNL,BuyPNLPercent
0,2019-08-01 09:15:00,1162.25,1162.25,1157.4,1162.1,93826,,,,,,,,,,,,,,
1,2019-08-01 09:16:00,1162.1,1162.1,1158.15,1158.45,51320,,,,,,,,,,,,,,
2,2019-08-01 09:17:00,1158.6,1159.15,1156.6,1159.15,49078,,,,,,,,,,,,,,
3,2019-08-01 09:18:00,1159.0,1159.15,1157.25,1158.8,27975,,,,,,,,,,,,,,
4,2019-08-01 09:19:00,1158.8,1158.8,1157.95,1157.95,40965,,,,,,,,,,,,,,
5,2019-08-01 09:20:00,1157.95,1158.5,1156.25,1157.8,49710,,,,,,,,,,,,,,
6,2019-08-01 09:21:00,1158.1,1159.6,1157.0,1159.6,43844,,,,,,,,,,,,,,
7,2019-08-01 09:22:00,1159.75,1163.4,1159.5,1163.4,63354,,,,,,,,,,,,,,
8,2019-08-01 09:23:00,1163.65,1163.65,1161.15,1162.0,28446,,,,,,,,,,,,,,
9,2019-08-01 09:24:00,1162.25,1162.4,1160.85,1160.95,17348,,,,,,,,,,,,,,
10,2019-08-01 09:25:00,1160.95,1161.35,1160.3,1161.35,28939,,,,,,,,,,,,,,
11,2019-08-01 09:26:00,1161.5,1164.0,1161.5,1163.8,31120,,,,,,,,,,,,,,
12,2019-08-01 09:27:00,1163.9,1163.95,1162.1,1162.35,25653,,,,,,,,,,,,,,
13,2019-08-01 09:28:00,1162.35,1164.8,1162.3,1164.0,31586,,,,,,,,,,,,,,
14,2019-08-01 09:29:00,1163.75,1164.1,1163.0,1164.1,24246,,,,,,,,,,,,,,
15,2019-08-01 09:30:00,1163.9,1164.4,1162.05,1162.05,14758,,,,,,,,,,,,,,
16,2019-08-01 09:31:00,1162.05,1162.2,1161.3,1161.5,19830,,,,,,,,,,,,,,
17,2019-08-01 09:32:00,1161.55,1162.05,1161.05,1161.75,19749,,,,,,,,,,,,,,
18,2019-08-01 09:33:00,1162.2,1162.2,1161.95,1162.05,8865,,,,,,,,,,,,,,
19,2019-08-01 09:34:00,1162.05,1162.05,1161.15,1161.9,20799,,,,,,,,,,,,,,
20,2019-08-01 09:35:00,1162.0,1163.7,1162.0,1163.65,10676,,,,,,,,,,,,,,
21,2019-08-01 09:36:00,1163.7,1164.2,1163.2,1163.3,29681,,,,,,,,,,,,,,
22,2019-08-01 09:37:00,1163.3,1163.7,1162.15,1162.2,16524,,,,,,,,,,,,,,
23,2019-08-01 09:38:00,1162.2,1162.5,1160.3,1160.3,29190,,,,,,,,,,,,,,
24,2019-08-01 09:39:00,1160.55,1161.0,1158.5,1159.3,80622,,,,,,,,,,,,,,
25,2019-08-01 09:40:00,1159.3,1159.3,1157.5,1157.5,50926,,,,,,,,,,,,,,
26,2019-08-01 09:41:00,1157.5,1157.65,1155.4,1156.0,68700,Downward,RedBrick,1157.1,,SELL,1156.0,,,,,,,,
